epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.008053172,1.00E-05,5.517573833,0.013644676,5.219240189
1,0.016282177,1.00E-05,5.267836094,0.037558027,5.019688606
2,0.031931356,1.00E-05,5.046627522,0.077085383,4.774681568
3,0.05981854,1.00E-05,4.813310623,0.12364608,4.479733944
4,0.097165562,1.00E-05,4.560583591,0.17091012,4.168144226
5,0.13838093,1.00E-05,4.299472809,0.221831486,3.868860483
6,0.17333661,1.00E-05,4.06271553,0.263328165,3.597214222
7,0.211668313,1.00E-05,3.84496212,0.304402858,3.358834028
8,0.243423834,1.00E-05,3.63909936,0.341960907,3.159955978
9,0.279575199,1.00E-05,3.454360723,0.373892248,2.978432894
10,0.308798701,1.00E-05,3.289925814,0.409340262,2.822728395
11,0.340659738,1.00E-05,3.125475883,0.432690948,2.684165239
12,0.361724585,1.00E-05,2.981708765,0.449711621,2.576210976
13,0.388838083,1.00E-05,2.857866764,0.472358972,2.478064299
14,0.409938097,1.00E-05,2.729875565,0.489520341,2.391056061
15,0.434695452,1.00E-05,2.619939089,0.504431009,2.315194368
16,0.454459131,1.00E-05,2.514098644,0.518919706,2.249646664
17,0.471128136,1.00E-05,2.423790455,0.533408344,2.182160616
18,0.487199336,1.00E-05,2.322971821,0.544661701,2.126711607
19,0.50808835,1.00E-05,2.247093201,0.555915058,2.086718559
20,0.519236207,1.00E-05,2.160960913,0.5599944,2.050552845
21,0.537558019,1.00E-05,2.083512068,0.568715692,2.010014772
22,0.548424542,1.00E-05,2.012630224,0.573920369,1.982630014
23,0.566640854,1.00E-05,1.935034037,0.585595727,1.948616028
24,0.579230547,1.00E-05,1.859871268,0.589956403,1.928260446
25,0.591468573,1.00E-05,1.80334878,0.59516108,1.901884675
26,0.603073597,1.00E-05,1.74450326,0.599943757,1.883069515
27,0.6172809,1.00E-05,1.689429522,0.606414378,1.868418336
28,0.630116761,1.00E-05,1.621656775,0.61091572,1.857058406
29,0.638697445,1.00E-05,1.575542331,0.614432395,1.840691328
